"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"397","Carly Rae Jepsen","6sFIWsNpZYqfjUpaCgueju","canadian pop","dance pop","electropop","indie poptimism","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"398","EXO","3cjEqqelV9zb4BYE3qDQ4O","k-pop","k-pop boy group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"399","Mariah Carey","4iHNK0tOyZPYnBU7nGAgpQ","dance pop","pop","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"400","K/DA","4gOc8TsQed9eqnqJct2c5v","k-pop girl group",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"401","Pedro Capó","4QVBYiagIaa6ZGSPMbybpy","latin pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"402","JENNIE","250b0Wlc5Vk0CoUsaCY84M","k-pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"403","Orelsan","4FpJcNgOvIpSBeJgRg3OfN","belgian hip hop","french hip hop","rap conscient",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"404","Mike WiLL Made-It","0NWbwDZY1VkRqFafuQm6wk","atl hip hop","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"405","Wham!","5lpH0xAS4fVfLkACg9DAuM","dance pop","dance rock","disco","europop","motown","new romantic","new wave","new wave pop","soft rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"406","Wisin & Yandel","1wZtkThiXbVNtj6hee6dz9","electro latino","latin","latin hip hop","reggaeton","tropical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"407","Brenda Lee","4cPHsZM98sKzmV26wlwD2W","adult standards","brill building pop","easy listening","lounge","nashville sound","rockabilly","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"408","Michael Bublé","1GxkXlMwML1oSg5eLPiAz3","adult standards","canadian pop","lounge","neo mellow","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"409","Andy Williams","4sj6D0zlMOl25nprDJBiU9","adult standards","brill building pop","easy listening","lounge","mellow gold","operatic pop","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"410","Frank Sinatra","1Mxqyy3pSjf8kZZL4QVxS0","adult standards","easy listening","lounge",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"411","MC L da Vinte","0lHB0Qc4pmD5RkTLlHeESo","funk carioca","funk ostentacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"412","MERO","5wyWp867LWGjFmYZXVSFnZ","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"413","Bing Crosby","6ZjFtWeHP9XN7FeKSUe80S","adult standards","big band","easy listening","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"414","Paul McCartney","4STHEaNw4mPZ2tzheohgXB","album rock","art rock","classic rock","folk rock","mellow gold","rock","soft rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"415","John Lennon","4x1nvY2FN8jxqAFA0DA02H","album rock","art rock","classic rock","folk rock","mellow gold","psychedelic rock","rock","roots rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"416","Chris Rea","5KEG7G8LDYlHgFDqZyEEs2","art rock","blues-rock","classic rock","classic uk pop","mellow gold","soft rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"417","Nat King Cole","7v4imS0moSyGdXyLgVTIV7","adult standards","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"418","Kelly Clarkson","3BmGtnKgCSGYIUhmivXKWX","australian pop","dance pop","neo mellow","pop","pop rock","post-teen pop","r&b","talent show",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"419","José Feliciano","7K78lVZ8XzkjfRSI7570FF","bolero","latin pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"420","Burl Ives","0MHgLfmQdutffmvWe5XBTN","adult standards","american folk revival",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"421","Ski Mask The Slump God","2rhFzFmezpnW82MNqEKVry","miami hip hop","rap","trap music","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"422","Dean Martin","49e4v89VmlDcFCMyDv9wQ9","adult standards","easy listening","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"423","The Pogues","2wzMOQwNT6ZvVB4amvhFAH","celtic","celtic punk","celtic rock","folk punk","irish folk","punk",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"424","Brett Eldredge","0qSX3s5pJnAlSsgsCne8Cz","contemporary country","country","country road","modern country rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"425","Britney Spears","26dSoYclwsYLMAKD3tpOr4","dance pop","pop","pop rap","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"426","The Ronettes","7CyeXFnOrfC1N6z4naIpgo","brill building pop","bubblegum pop","classic girl group","motown","rock-and-roll",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"427","Elvis Presley","43ZHCT0cAZBISjO8DG9PnE","rock-and-roll","rockabilly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"428","Shakin' Stevens","0wi4yTYlGtEnbGo4ltZTib","classic uk pop","new wave pop","rock-and-roll","rockabilly",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"429","Eartha Kitt","1AwO9pWEBSBoWdEZu28XDC","adult standards","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"430","Pentatonix","26AHtbjWKiwYzsoGoUZq53","a cappella",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"431","Kylie Minogue","4RVnAU35WRWra6OZ3CbbMA","australian dance","australian pop","dance pop","electropop","eurodance","europop","new wave pop","pop","pop rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"432","Elton John","3PhoLpVuITZKcymswpck5b","glam rock","mellow gold","piano rock","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"433","Tony Bennett","2lolQgalUvZDfp5vvVtTYV","adult standards","easy listening","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"434","Chuck Berry","293zczrfYafIItmnmM3coR","classic rock","rock","rock-and-roll","rockabilly","soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"435","Mykola Dmytrovych Leontovych","6lBN3Tzt61u8i9AJoAhKzF","post-romantic era","ukrainian classical",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"436","*NSYNC","6Ff53KvcvAj5U7Z1vojB5o","boy band","dance pop","europop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"437","Bruce Springsteen","3eqjTLE0HfPfh78zjh6TqT","heartland rock","mellow gold","permanent wave","rock","singer-songwriter",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"438","Gwen Stefani","4yiQZ8tQPux8cPriYMWUFP","australian pop","dance pop","europop","hip pop","pop","pop rock","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"439","Perry Como","5v8jlSmAQfrkTjAlpUfWtu","adult standards","brill building pop","easy listening","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"440","H.E.R.","3Y7RZ31TRPVadSFVy1o8os","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"441","Peter Manos","4K9aclpXgCPNFGEqRlFPal","indie cafe pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"442","Azet","39KEQQAG9JhIt71g9NEVhh","albanian hip hop","german hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"443","Darlene Love","391oLRVmoTkumiN79HkTWu","brill building pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"444","Judy Garland","0hItVPjwJLVZrFqOyIsxPf","adult standards","hollywood","lounge","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"445","The Beach Boys","3oDbviiivRWhXwIE8hxkVV","baroque pop","brill building pop","folk rock","psychedelic rock","rock","sunshine pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"446","Gene Autry","5ixB75BQR3ADoWQkcHQJTs","adult standards","cowboy western","nashville sound","traditional country","western swing",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"447","Backstreet Boys","5rSXSAkZ67PYJSvpUpkOr7","boy band","dance pop","europop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"448","Bryan Adams","3Z02hBLubJxuFJfhacLSDc","album rock","canadian pop","canadian singer-songwriter","classic canadian rock","heartland rock","mellow gold","rock","soft rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"449","Boney M.","54R6Y0I7jGUCveDTtI21nb","disco","europop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"450","Idina Menzel","73Np75Wv2tju61Eo9Zw4IR","broadway","hollywood","movie tunes","show tunes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"451","Slade","10n5lhNDoSMUHWLlnST1yw","album rock","blues-rock","classic uk pop","glam rock","hard rock","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"452","Ella Fitzgerald","5V0MlUE1Bft0mbLlND7FJz","adult standards","jazz blues","swing","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"453","Train","3FUY2gzHeIiaesXtOAdB7A","neo mellow","pop","pop rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"454","Nina Nesbitt","7AzjETXRUKNRSJHMW9GIqd","australian pop","dance pop","electropop","indie cafe pop","neo-singer-songwriter","pop","post-teen pop","uk pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"455","Jessie J","2gsggkzM5R49q6jpPvazou","australian pop","dance pop","pop","pop rap","post-teen pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"456","Céline Dion","4S9EykWXhStSc15wEx8QFK","canadian pop","dance pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"457","Carpenters","1eEfMU2AhEo7XnKgL7c304","adult standards","folk","mellow gold","soft rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"458","Donny Hathaway","0HU0U9kdXEHZVxUNbuQe8S","chicago soul","classic soul","funk","motown","neo soul","quiet storm","r&b","soul","southern soul","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"459","Eagles","0ECwFtbIWEVNwjlrfc6xoL","album rock","classic rock","folk rock","heartland rock","mellow gold","rock","singer-songwriter","soft rock","yacht rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"460","Devin Dawson","2ySHS7UojGu20XfUPaBlyu","contemporary country","country pop","modern country rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"461","Tom Petty and the Heartbreakers","4tX2TplrkIP4v05BNC903e","album rock","classic rock","folk rock","hard rock","heartland rock","mellow gold","pop rock","psychedelic rock","rock","roots rock","singer-songwriter","soft rock",NA,NA,NA,NA,NA,NA,NA,NA
"462","Johnny Mathis","21LGsW7bziR4Ledx7WZ1Wf","adult standards","brill building pop","easy listening","lounge","mellow gold","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"463","Jona Lewie","3nohf4qILMr5aUSOsolwxB","new wave pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"464","Destiny's Child","1Y8cdNmUJH7yBTd9yOvr5i","dance pop","girl group","hip pop","pop","pop rap","r&b","urban contemporary",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"465","Vince Guaraldi Trio","4ytkhMSAnrDP8XzRNlw9FS","adult standards","jazz trio",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"466","Pretenders","0GByy3DcfbQwDvXGCWmzv9","album rock","art rock","classic rock","dance rock","folk","folk rock","folk-pop","lilith","mellow gold","new romantic","new wave","new wave pop","permanent wave","pop rock","rock","roots rock","soft rock",NA,NA,NA
"467","Kay Starr","7rpf45DdbpweG51Acze45i","adult standards","big band","brill building pop","deep adult standards","easy listening","lounge","swing","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"468","Nat King Cole Trio","3OpnoUqoRIHWbsFs4Nw0NQ","adult standards","lounge","swing","vocal jazz",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"469","Wizzard","7823Dim2TzjiQQ9wRQxyi9","classic uk pop","glam rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"470","Hannah Kerr","5FxshnB3eJ2YDn8xN8zDKq","anthem worship","ccm","christian alternative rock","christian music","worship",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"471","LX","10XY9PZCJKzUFzZOdtlQLU","german hip hop","hamburg hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"472","Dennis DJ","6xlRSRMLgZbsSNd0BMobwy","brazilian edm","funk carioca","funk das antigas","funk ostentacao",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"473","Márcia Fellipe","3OxZ4asD88P1lJJmLcXz4K","forro","funk carioca","sertanejo pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"474","Humberto & Ronaldo","1zEo6Fk1iaaOYFlFPBHCFn","sertanejo","sertanejo pop","sertanejo universitario",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"475","Eurythmics","0NKDgy9j66h3DLnN8qu1bB","dance pop","dance rock","disco","europop","mellow gold","new romantic","new wave","new wave pop","rock","soft rock","synthpop",NA,NA,NA,NA,NA,NA,NA,NA,NA
"476","Whitney Houston","6XpaIBNiVzIetEPCWDvAFP","dance pop","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
