"","artist","artist_id","g1","g2","g3","g4","g5","g6","g7","g8","g9","g10","g11","g12","g13","g14","g15","g16","g17","g18","g19","g20"
"168","ScHoolboy Q","5IcR3N7QB1j6KBL8eImZ8m","hip hop","pop","pop rap","rap","southern hip hop","trap music","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"169","BlocBoy JB","4TEJudQY2pXxVHPE3gD2EU","hip hop","pop rap","rap","southern hip hop","trap music","vapor trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"170","Vince Staples","68kEuyFKyqrdQQLLsmiatm","conscious hip hop","escape room","hip hop","pop rap","rap","southern hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"171","SOB X RBE","2TImI3DW7o5MdRXJs4D37h","cali rap","trap music","vapor trap","west coast trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"172","Jorja Smith","1CoZyIx7UvdxT5c8UkMzHd","pop","r&b","uk contemporary r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"173","Ab-Soul","0g9vAlRPK9Gt3FKCekk4TW","alternative hip hop","conscious hip hop","hip hop","pop rap","rap","southern hip hop","underground hip hop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"174","James Bay","4EzkuveR9pLvDVFNx6foYD","neo mellow","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"175","Zacari","3qBKjEOanahMxlRojwCzhI","alternative r&b","gqom",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"176","Mozzy","4AA474G2hRfrHyGrfyDseO","cali rap","trap music","west coast trap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"177","MC Loma e As Gêmeas Lacração","6tdM5Njlln7nWkonCppW0u","baile pop","brega funk","funk carioca",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"178","Adele","4dpARuHxo51G3z768sgnrY","british soul","pop","uk pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"179","Christina Perri","7H55rcKCfwqkyDFH9wpKM6","dance pop","neo mellow","pop","post-teen pop","viral pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"180","Hozier","2FXC3k01G6Gw61bmprjgqS","folk-pop","irish singer-songwriter","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"181","Ellie Goulding","0X2BH1fck6amBIoJhDVmmJ","dance pop","electropop","metropopolis","pop","post-teen pop","tropical house",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"182","Passenger","0gadJ2b9A4SKsB1RFkBb66","neo mellow","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"183","The Goo Goo Dolls","2sil8z5kiy4r76CRTXxBCA","alternative rock","neo mellow","permanent wave","pop rock","post-grunge","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"184","Lord Huron","6ltzsmQQbmdoHHbLZ4ZN25","folk-pop","indie folk","indie pop","new americana","stomp and holler",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"185","Muse","12Chz98pHFMPJEknJQMWvI","modern rock","permanent wave","piano rock","post-grunge","rock",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"186","Frank Ocean","2h93pZq0e7k5yf4dywlkpM","alternative r&b","hip hop","lgbtq+ hip hop","pop","pop rap","r&b","rap",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"187","Sofia Reyes","0haZhu4fFKt0Ag94kZDiz2","dance pop","latin","latin pop","mexican pop","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"188","Sean Paul","3Isy6kedDrgPYoTS1dazA9","dance pop","dancehall",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"189","Reik","0vR2qb8m9WHeZ5ByCbimq2","latin","latin arena pop","latin pop","mexican pop","pop","reggaeton",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"190","Tom Walker","7z2avKuuiMAT4XZJFv8Rvh","indie anthem-folk","pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"191","A$AP Rocky","13ubrt8QOOCPljQ2FL1Kca","east coast hip hop","hip hop","pop","pop rap","rap","southern hip hop","trap music",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"192","Glades","14rP13jdQNgQvuPA2AkBgm","australian pop","electropop","indie electro-pop","indie poptimism","metropopolis","vapor soul",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"193","5 Seconds of Summer","5Rl15oVamLq7FbSb0NNBNy","boy band","dance pop","pop","post-teen pop",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"194","Janelle Monáe","6ueGR6SWhUJfvEhqkvMsVs","alternative r&b","atl hip hop","dance pop","electropop","escape room","neo soul","pop","r&b",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
