"","track_id","energy","key","loudness","mode","speechiness","acousticness","instrumentalness","liveness","valence","tempo","duration_ms","time_signature","danceability"
"1873","2Ysi49tRdVH74d1Cnc4o94",0.676,7,-3.178,1,0.0739,0.608,0,0.493,0.684,140.677,163560,4,0.626
"1874","66WPXyhXqMlkM1kZhyEXWK",0.793,6,-5.696,1,0.03,0.000942,8.29e-06,0.0791,0.672,125.998,187920,4,0.495
"1875","32h59T8q2SonUPJ006lyXt",0.744,1,-5.466,1,0.0603,0.0687,0,0.0723,0.701,183.79,241507,4,0.575
"1876","0iV9yfj1knFNOSEiuTHZwl",0.274,8,-10.433,1,0.04,0.871,1.18e-05,0.0897,0.164,68.534,243133,4,0.244
"1877","1wur1SW656paPv7EyTqWu4",0.604,3,-5.256,1,0.0293,0.477,0,0.311,0.168,172.075,254707,4,0.351
"1878","597IVBYr60vm0HKjgOnztJ",0.243,11,-15.632,1,0.0723,0.871,0,0.165,0.578,100.774,159440,4,0.694
"1879","04vLj9QUXoKdRlsp3gkURo",0.224,3,-12.431,1,0.0935,0.646,0,0.284,0.62,202.481,175333,4,0.5
"1880","7MSYSOobsombc1mbDWFxtD",0.645,5,-9.2,1,0.0376,0.292,0,0.246,0.677,93.05,231173,4,0.634
"1881","0xPaZrF25ltzvz1a2Pm5DQ",0.465,8,-8.077,0,0.0274,0.42,0,0.101,0.143,141.796,171827,4,0.503
"1882","09OojFvtrM9YRzRjnXqJjA",0.641,8,-8.915,1,0.0386,0.568,0,0.224,0.826,141.002,126146,4,0.682
"1883","70f0ToGXTEtLKFSwHMbHoC",0.357,9,-10.056,1,0.0398,0.514,0.00034,0.0603,0.468,183.055,180413,3,0.609
"1884","3iMRGDhn0ghHIUMmlKrJOh",0.529,0,-7.561,1,0.0321,0.372,0,0.12,0.232,112.028,228916,4,0.626
"1885","3B7FO3kJ5kv3mX7yiaB7sT",0.505,4,-7.208,1,0.0287,0.367,6.46e-06,0.154,0.192,174.066,266933,3,0.362
"1886","1dinW5tLGDdPhxtW8vMkUn",0.195,5,-13.207,1,0.0518,0.802,0,0.0862,0.157,80.983,204347,3,0.431
"1887","4EM8ZRafUv02ugYyJoJo7o",0.793,9,-8.092,1,0.0318,0.0611,0,0.369,0.739,138.831,254200,4,0.529
"1888","4QX5pZQpQTgVlkqfUTDim0",0.259,8,-13.967,1,0.0306,0.9,0,0.308,0.604,97.085,142560,3,0.273
"1889","3yQbBL8hsYtUhXSrmbKq8X",0.509,10,-8.868,1,0.0305,0.642,0,0.39,0.427,144.55,223240,3,0.319
"1890","6XAdcAseYtijN0QUnQFsH2",0.664,1,-8.95,1,0.0274,0.698,0,0.121,0.886,103.178,178720,4,0.605
"1891","4hXAK3mjFVFOOiJQ3rKAXi",0.275,0,-12.767,1,0.0475,0.632,0,0.287,0.774,153.251,130027,4,0.652
"1892","1DnSNqCQM3LUxqFuXt184Q",0.276,9,-11.395,1,0.0321,0.602,0.00167,0.121,0.195,68.764,230307,3,0.275
"1893","7n7VsX3sv66znBwA8b5uhp",0.235,2,-16.982,1,0.0426,0.968,0.0198,0.105,0.834,79.578,115827,4,0.573
"1894","6keKIzkXWdbwJWMBJQUwYl",0.153,0,-15.969,1,0.0365,0.956,0.00012,0.158,0.157,84.741,161373,1,0.176
"1895","6DwnAl6l63e83dDgIzY8P4",0.0964,9,-12.996,0,0.0399,0.835,2.95e-05,0.11,0.357,76.273,231627,4,0.641
"1896","6Tof6kPUc2a17GKaKz4IXz",0.475,7,-10.901,1,0.28,0.946,0.00372,0.133,0.437,89.2,315733,4,0.478
"1897","517HDzHbAwuGM25wiU5r9J",0.385,9,-9.47,1,0.0395,0.35,0.00315,0.0779,0.736,97.206,177523,4,0.697
"1898","76nIlhb7sx9W9ceQKVKreg",0.497,8,-7.424,1,0.0514,0.768,0,0.277,0.846,76.532,131733,4,0.566
"1899","6it15CsDlkqB7N4lF0C1qM",0.575,0,-7.739,1,0.299,0.627,0.000202,0.0961,0.248,160.007,229456,4,0.651
